x1,x2,label
1.81138,0.146028,1
0.224497,0.917445,0
0.876287,0.479295,0
1.20517,-0.100636,1
1.47027,-0.568577,1
0.245323,0.925945,0
1.01198,0.227317,0
-0.48222,0.914937,0
-0.103343,1.21753,0
1.0796,0.21037,0
1.23452,-0.503352,1
1.38077,-0.685834,1
-0.19673,0.96229,0
1.14464,-0.513779,1
1.11091,0.296335,0
1.24232,-0.576384,1
0.149803,-0.272035,1
1.02337,-0.0706197,0
1.9714,0.200826,1
0.370322,1.19246,0
1.3082,-0.398283,1
0.974151,-0.414301,1
-0.940277,0.624907,0
1.53488,-0.359566,1
0.659875,0.797265,0
1.11154,-0.527712,1
0.494931,1.0986,0
-0.445578,0.844537,0
-0.17762,0.939174,0
2.0987,0.510111,1
-0.939178,0.23432,0
1.98407,-0.232149,1
0.736532,0.605409,0
0.480846,0.600548,0
0.0140944,0.474159,1
1.08839,0.0638967,0
1.94002,0.518495,1
-0.0615139,0.829883,0
0.63545,-0.472139,1
0.830201,0.191339,0
0.0933475,1.01451,0
1.96883,-0.195128,1
1.55197,-0.425313,1
1.78435,0.00478189,1
0.173354,0.967063,0
0.534106,-0.356561,1
0.968389,-0.237169,1
-0.359845,1.19427,0
0.487361,-0.550675,1
-0.973934,0.74083,0
-0.747881,0.422445,0
0.121365,1.32505,0
1.60649,-0.107731,1
0.0625893,0.31541,1
0.729904,-0.378777,1
1.66714,-0.108979,1
-0.0448573,0.255213,1
-0.0526205,1.01523,0
0.968379,0.219507,0
0.964607,0.620892,0
0.99933,-0.328588,1
0.0769474,0.244316,1
0.39889,-0.268312,1
-0.611295,0.841699,0
-0.134414,0.890222,0
-0.197467,0.830896,0
1.12436,0.155307,0
1.9744,0.419183,1
0.963756,-0.469523,1
1.86261,-0.0445779,1
0.208911,-0.0618693,1
2.02531,0.364338,1
-0.600348,0.52827,0
-0.104264,0.20308,1
0.292241,-0.30956,1
-0.848468,0.679956,0
0.129201,0.223512,1
0.252832,-0.0262516,1
1.98503,0.308144,1
1.62271,-0.242063,1
1.77385,0.203746,1
-0.886245,-0.21651,0
1.18885,-0.393824,1
1.9765,-0.276687,1
-0.877115,0.600549,0
-0.447622,1.20401,0
-0.13999,1.04614,0
-0.197627,1.04434,0
0.749255,0.650988,0
0.715682,0.487672,0
0.279496,0.386838,1
0.799479,0.4527,0
0.727791,-0.845348,1
-0.59113,0.981732,0
0.231757,-0.220642,1
-0.982666,0.493701,0
0.00708158,0.0253956,1
0.623846,-0.480599,1
2.00592,0.526586,1
0.608582,-0.463447,1
1.10786,-0.0812362,0
1.77715,0.00577414,1
0.722014,1.07606,0
-0.347972,0.991406,0
0.462881,1.04633,0
0.836187,-0.41599,1
0.728959,0.598493,0
0.570881,0.778114,0
-0.656008,0.483756,0
-0.380439,0.896724,0
1.76772,-0.399265,1
-1.23671,0.11049,0
0.488059,0.799396,0
-0.160251,1.22368,0
-0.147636,0.237829,1
1.13441,-0.541599,1
0.72407,0.536545,0
1.73227,-0.328604,1
0.426257,1.04401,0
0.488717,-0.203252,1
2.19098,0.464322,1
-0.396725,0.853416,0
0.15243,0.467861,1
0.964082,0.676052,0
1.81742,-0.216435,1
0.882214,0.701324,0
1.07929,-0.357489,1
-0.700853,0.600221,0
1.70737,0.0534246,1
0.281598,1.00879,0
1.23176,-0.493984,1
0.482111,1.02269,0
-0.229194,0.889372,0
0.685075,-0.398271,1
0.284866,-0.23404,1
0.425649,-0.382124,1
1.05213,0.691535,0
0.79825,-0.409142,1
1.06921,0.159997,0
1.22685,0.132138,0
1.83539,0.0655991,1
1.4394,-0.526168,1
0.244491,-0.149247,1
-0.0272855,-0.10822,1
1.93695,0.0874004,1
0.802453,0.806601,0
0.319657,-0.0607455,1
2.09898,0.0349699,1
-0.433165,0.835872,0
1.44896,-0.163113,1
-1.12167,0.666083,0
0.0858484,-0.253717,1
-0.582583,0.909326,0
1.52438,-0.166001,1
1.86059,-0.229485,1
-0.589003,0.681026,0
0.710346,-0.360592,1
-1.15818,-0.108974,0
0.925807,0.203648,0
0.148898,0.52475,1
0.909481,0.272458,0
1.969,0.230309,1
1.11909,-0.530665,1
-0.585327,1.08459,0
2.00043,0.429637,1
1.75542,-0.219674,1
-0.0370512,1.1253,0
-0.997973,0.288812,0
-0.827597,0.0995977,0
0.108101,-0.0582013,1
-0.133183,1.12152,0
-0.224796,0.731946,0
0.411489,0.805634,0
0.348129,-0.163862,1
1.60148,-0.0356199,1
0.708325,0.476212,0
0.792064,0.416918,0
0.742254,0.269237,0
-0.364763,0.93722,0
0.961276,0.332038,0
